Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
10/20/19 11:00,Central Los Angeles,4.5,1-hr,pphm,9,N/A
10/20/19 12:00,Central Los Angeles,5.3,1-hr,pphm,9,N/A
10/20/19 13:00,Central Los Angeles,5.2,1-hr,pphm,9,N/A
10/20/19 14:00,Central Los Angeles,4.6,1-hr,pphm,9,N/A
10/20/19 15:00,Central Los Angeles,4.5,1-hr,pphm,9,N/A
10/20/19 16:00,Central Los Angeles,3.6,1-hr,pphm,9,N/A
10/20/19 17:00,Central Los Angeles,2.2,1-hr,pphm,9,N/A
10/20/19 18:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/20/19 19:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/20/19 20:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/20/19 21:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/20/19 22:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/20/19 23:00,Central Los Angeles,1.1,1-hr,pphm,9,N/A
10/21/19 0:00,Central Los Angeles,2,1-hr,pphm,9,N/A
10/21/19 1:00,Central Los Angeles,1.8,1-hr,pphm,9,N/A
10/21/19 2:00,Central Los Angeles,1.7,1-hr,pphm,9,N/A
10/21/19 3:00,Central Los Angeles,1.2,1-hr,pphm,9,N/A
10/21/19 4:00,Central Los Angeles,0.7,1-hr,pphm,9,N/A
10/21/19 5:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/21/19 6:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/21/19 7:00,Central Los Angeles,0.8,1-hr,pphm,9,N/A
10/21/19 8:00,Central Los Angeles,1.7,1-hr,pphm,9,N/A
10/21/19 9:00,Central Los Angeles,2.8,1-hr,pphm,9,N/A
10/21/19 10:00,Central Los Angeles,4.1,1-hr,pphm,9,N/A
10/21/19 11:00,Central Los Angeles,4.5,1-hr,pphm,9,N/A
10/21/19 12:00,Central Los Angeles,5.3,1-hr,pphm,9,N/A
10/21/19 13:00,Central Los Angeles,5.5,1-hr,pphm,9,N/A
10/21/19 14:00,Central Los Angeles,5.4,1-hr,pphm,9,N/A
10/21/19 15:00,Central Los Angeles,5,1-hr,pphm,9,N/A
10/21/19 16:00,Central Los Angeles,4.8,1-hr,pphm,9,N/A
10/21/19 17:00,Central Los Angeles,3.8,1-hr,pphm,9,N/A
10/21/19 18:00,Central Los Angeles,1.7,1-hr,pphm,9,N/A
10/21/19 19:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/21/19 20:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/21/19 21:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/21/19 22:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/21/19 23:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 0:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 1:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 2:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 3:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/22/19 4:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 5:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/22/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/22/19 7:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/22/19 8:00,Central Los Angeles,1,1-hr,pphm,9,N/A
10/22/19 9:00,Central Los Angeles,1.7,1-hr,pphm,9,N/A
